qid,n_gold,first_relevant_rank
1,1,6
3,1,3
5,1,4
13,1,-1
36,2,4
42,1,2
48,1,4
49,1,1
50,1,1
51,1,1
53,1,1
54,1,2
56,1,1
57,1,1
70,2,11
72,1,3
75,1,1
94,1,4
99,1,1
100,1,2
113,1,2
115,1,1
118,1,1
124,1,1
127,1,-1
128,1,-1
129,1,1
130,1,1
132,1,12
133,5,1
137,1,1
141,2,2
142,1,1
143,1,1
146,1,1
148,1,1
163,1,1
171,1,1
179,4,1
180,1,1
183,1,1
185,1,10
198,1,5
208,1,1
212,1,4
213,1,7
216,1,1
217,1,1
218,1,1
219,1,1
230,1,1
232,1,1
233,1,1
236,1,1
237,1,1
238,1,2
239,1,1
248,1,1
249,1,1
261,2,7
268,1,1
269,1,3
274,1,1
275,3,2
279,1,1
294,1,-1
295,1,11
298,1,1
300,1,5
303,1,-1
312,1,-1
314,1,-1
324,1,-1
327,1,1
338,1,1
343,2,1
350,1,1
354,1,1
362,1,1
380,1,3
384,1,-1
385,2,5
386,1,1
388,1,1
399,1,1
410,1,1
411,1,1
415,1,2
421,1,-1
431,1,11
436,1,1
437,1,-1
439,1,1
440,1,1
443,1,1
452,2,2
475,1,2
478,1,1
491,1,1
501,1,1
502,1,-1
507,1,2
508,1,-1
513,1,10
514,1,1
516,1,1
517,1,18
521,1,1
525,1,1
527,1,7
528,1,1
532,1,1
533,1,1
535,1,7
536,1,1
539,1,1
540,2,3
544,1,1
549,1,1
551,1,5
552,1,1
554,1,-1
560,1,-1
569,1,2
575,1,1
577,1,-1
578,1,6
587,1,-1
589,1,1
593,1,1
597,3,1
598,1,3
613,1,1
619,2,4
623,1,7
628,1,1
636,1,1
637,1,2
641,2,1
644,1,3
649,1,1
659,1,8
660,1,-1
674,1,-1
684,1,1
690,1,1
691,1,2
692,1,1
693,1,1
700,1,1
702,1,2
715,1,-1
716,1,-1
718,1,1
721,1,1
723,1,1
727,1,5
728,2,1
729,1,2
742,1,2
743,1,6
744,1,3
756,1,4
759,1,2
768,1,-1
770,1,1
775,1,11
781,1,2
783,1,12
784,1,2
785,1,-1
793,1,3
800,1,1
805,1,1
808,1,1
811,1,1
814,1,1
820,1,1
821,1,5
823,1,2
830,1,15
831,1,-1
832,1,1
834,1,-1
837,1,2
839,1,1
845,1,4
847,1,2
852,1,1
859,1,4
870,1,14
873,5,2
879,1,1
880,1,1
882,1,2
887,1,-1
903,1,1
904,1,1
907,1,1
911,1,3
913,1,-1
914,1,2
921,1,1
922,1,1
936,1,1
956,1,1
957,1,2
960,1,1
967,2,1
971,4,3
975,1,-1
982,1,1
985,1,1
993,1,1
1012,1,1
1014,1,1
1019,1,1
1020,1,1
1021,1,1
1024,1,2
1029,3,1
1041,2,3
1049,1,11
1062,1,1
1086,1,1
1088,1,1
1089,1,1
1099,1,1
1100,1,3
1104,1,1
1107,1,2
1110,1,-1
1121,1,1
1130,1,1
1132,2,8
1137,1,1
1140,1,1
1144,1,1
1146,1,1
1150,1,1
1163,1,1
1175,1,-1
1179,1,8
1180,1,2
1185,1,1
1187,1,2
1191,1,-1
1194,1,1
1196,1,3
1197,1,4
1199,1,-1
1200,1,-1
1202,1,1
1204,1,1
1207,1,1
1213,1,-1
1216,1,1
1221,1,2
1225,1,1
1226,1,-1
1232,1,1
1241,1,1
1245,1,20
1259,1,1
1262,1,1
1266,1,2
1270,1,1
1271,1,1
1272,1,9
1273,1,1
1274,3,1
1278,1,1
1279,1,1
1280,1,-1
1281,1,-1
1282,1,1
1290,1,1
1292,1,3
1298,1,1
1303,1,2
1316,1,-1
1319,1,2
1320,1,1
1332,1,-1
1335,1,1
1336,1,1
1337,1,5
1339,1,1
1344,1,2
1352,1,1
1359,1,1
1362,1,-1
1363,1,-1
1368,1,2
1370,1,5
1379,4,1
1382,1,1
1385,1,1
1389,1,1
1395,1,8
